A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,CEC,ESP,pH,paddock
-0.10741851424665727,0.20221965910547227,0.20536374898543297,0.058281857405271476,-0.21494638814131323,-0.12456747404844293,0.2381989832970225,0.28725362040240937,0.07395446195907558,-0.01265837925584177,0.04339527532145756,0.00025289418599683884,-0.03350506215558118,0.20221965910547227,-0.03586312956555171,-0.17279507881584008,-0.10065188602674185,0.07346917852108165,-0.07163740441710453,0.056224529027297195,-0.0867768806869153,0.11318723567858514,-0.07828100303302149,-0.02572685719167841,0.06747490281515657,-0.13334358580033323,-0.03812550728352343,-0.07113845102311078,-0.031939852193600744,-0.22558844888718013,-0.18013584518774828,-0.1470340467341621,-0.09356401384083046,-0.11552479815455591,0.0867768806869153,-0.037496689307531285,-0.13334358580033323,-0.0067461232859156745,-0.012309795377846128,0.03256867016959289,-0.18535093340168313,0.03045666196761929,-0.04982698961937717,-0.0545841343073177,0.21413302575932336,-0.15516767055406042,-0.08271690375496604,-0.12397283096245035,-0.0030552351659618093,0.06666837541116664,0.21173394848135338,-0.06521252509718484,-0.18086718783373915,0.05914306463326072,-0.013868170361826648,-0.18161220043572981,-0.01710111495578624,-0.046347985817420646,-0.09518390362681022,-0.10229911572472127,-0.012323465333845957,0.04202827972147465,0.09680379341278995,0.21494638814131323,8.5,5.57544757033248,4.73,HILLPDK
-0.1138092186765774,0.2045777265154428,0.20064761416549193,0.06305950702721176,-0.21494638814131323,-0.11794438036652569,0.24158913238498014,0.29572215814430347,0.08122004357298476,0.0045110854799436115,0.04750309709940621,-0.0005878081079926524,-0.019240463069759496,0.20221965910547227,-0.049047802127386894,-0.171359733435858,-0.09899098637276262,0.07927890982100903,-0.0837284804989534,0.06436498782519545,-0.08478106711094026,0.10232645563672091,-0.07632619932504595,-0.020689478405741382,0.06266991328121663,-0.13334358580033323,-0.029185356059635174,-0.07301123499508738,-0.01857747020376778,-0.21740014524328252,-0.1794181724977573,-0.1378341663462771,-0.08987996069887651,-0.12395916100645055,0.08076210004699048,-0.034188559955572635,-0.12644709299841944,-0.022090648895723868,-0.015406040411807424,0.03779059336152761,-0.1845922508436926,0.03239779571959502,-0.052567815797342904,-0.056210859071297366,0.21254731086334322,-0.1510803537101115,-0.0867768806869153,-0.12459481396044257,-0.012002221367849973,0.06272459310521594,0.2093348712033833,-0.06256055363321798,-0.17937716262975778,0.06303216711521209,-0.016650006407791875,-0.1898893587936264,-0.013895510273826307,-0.05377760690332778,-0.08679055064291513,-0.11083600324661454,0.006226664957922167,0.04237686359947029,0.10344739202870691,0.21333333333333337,6.2,5.35063113604488,4.62,HILLPDK
-0.10632491776667094,0.23143235507710708,0.1952274766115597,0.03314964329958563,-0.22641548122516986,-0.12894869494638816,0.2450339612969371,0.2947720962023153,0.08171899696697853,0.016055363321799306,0.043798539023452515,-0.010293476867871333,-0.017859797513776754,0.21253364090734336,-0.02555598274168055,-0.15243367935409458,-0.08229997009697126,0.06389337434320133,-0.10120551924473492,0.061877055833226544,-0.09041992396086976,0.0962638301507967,-0.0797368533470033,-0.008379683027895254,0.05895852022726303,-0.16422401640394715,-0.03612969370754838,-0.06000427186124994,-0.019028578751762143,-0.20066128412149176,-0.16920671536588494,-0.15378700499807765,-0.11611944124054847,-0.11849801358451874,0.08530736041693367,-0.025610662565679867,-0.1272331154684096,-0.004162501601947969,-0.01740868896578239,0.039143919005510695,-0.19448246400956898,0.020997052415737537,-0.06521252509718484,-0.026957153231663034,0.20536374898543297,-0.1378341663462771,-0.0857926438549276,-0.1173087274125336,-0.009186210431885174,0.03578110982955274,0.19064804135161692,-0.053347003289333166,-0.16143534537998205,0.06701695928916229,-0.002043658421974454,-0.19063437139561706,-0.022780981673715242,-0.06482293135118972,-0.09095988722286301,-0.11502584476056217,-0.017039600153787006,0.04174804562347815,0.10175915246272801,0.1975445341535307,7.9,6.604292790313703,4.77,HILLPDK
-0.12829937203639627,0.1975445341535307,0.2165731129052929,0.07442607544106969,-0.21901320005126237,-0.1339792387543253,0.2347814942970652,0.31596052800205054,0.06794651629715068,-0.016971250373787862,0.04941005596138237,-0.020334059549745823,-0.0048254944679396805,0.1929104190695886,-0.0506881968473664,-0.17135973343585803,-0.08525268059293435,0.08679055064291513,-0.08375582041095306,0.05145371438335683,-0.09410397710282371,0.07445341535306935,-0.0827442436669657,-0.026355675167670553,0.043812208979452344,-0.1378341663462771,-0.034872057755564095,-0.0666000256311675,-0.03847409116151907,-0.22145328719723184,-0.18761331111965485,-0.16636336451792047,-0.08688624033491393,-0.12459481396044257,0.07549233200905636,-0.012952283309838096,-0.12831304199239607,-0.013977530009825283,-0.01401853987782477,0.05298474945533769,-0.18165321030372933,0.03293092400358836,-0.06747490281515657,-0.03611602375154855,0.2045777265154428,-0.16426502627194667,-0.09309240035883636,-0.13146396685035672,-0.0053039429279337,0.044523046691443455,0.20300568157546245,-0.058281857405271476,-0.17210474603784867,0.07163740441710455,-0.003786577811952668,-0.18161220043572981,-0.03227476611559657,-0.021263616557734205,-0.11436285189457045,-0.09145884061685677,0.02747661155965654,0.02472211542569097,0.09472596010081594,0.21336067324533303,5.2,0.9782608695652173,4.44,HILLPDK
-0.09314708018283567,0.210961595967363,0.22477508650519035,0.06703062924516212,-0.22310735187321118,-0.12231193130847112,0.2652860011106839,0.30242727156221966,0.07685249263103937,-0.019042248707761975,0.05029860310137127,-0.025063864325686705,-0.007709855183903628,0.2046324063394421,-0.029028151565637143,-0.16853005254389336,-0.08993464052287582,0.05742748515528215,-0.07976419325900296,0.06930667691913367,-0.09853304284676835,0.09146567559485669,-0.08738519372890768,-0.026116450937673546,0.022480242641718995,-0.12459481396044257,-0.032609680037592376,-0.06483660130718955,-0.03983425178350206,-0.2272425135631595,-0.1779281472937759,-0.16140800546798242,-0.13342560553633215,-0.12711008586441114,0.09094621726686318,-0.018570635225767868,-0.13533256439830835,0.013840830449826988,-0.05526079712930924,0.040217010551497276,-0.19525481652355936,-0.001640394719979495,-0.057044726387286936,-0.02691614336366355,0.22158998675723013,-0.14109445085223635,-0.10855312059464309,-0.11383655858857705,-0.013806655559827416,0.04245888333546926,0.17576145926780298,-0.05705839634328677,-0.15797001153402535,0.08046819599299417,-0.01517365115981033,-0.18012217523174845,-0.02077833311974027,-0.0336075868255799,-0.09900465632876244,-0.10463667820069203,0.012911273441838608,0.01075825537186552,0.07589559571105133,0.1868546285616643,3.6,1.328502415458937,4.31,HILLPDK
-0.11376820880857788,0.208562518689393,0.21013456362937333,0.08173266692297836,-0.21575975052330307,-0.12769105899440383,0.2373446110470332,0.2900627963603742,0.08221795036097229,-0.0033354692639583064,0.05997693194925028,-0.018748344653765646,-0.03777692340552778,0.19987526165150157,-0.045274894271434066,-0.16422401640394715,-0.0919851339228502,0.08223162031697212,-0.08421376393694734,0.050230253321372126,-0.09737109658678286,0.10398735529070016,-0.08029048656499639,-0.017381349053782733,0.06311418685121106,-0.14570806100217865,-0.04066128412149173,-0.058726130975265925,-0.022890341321713872,-0.23817164338502284,-0.16782604980990215,-0.14769703960015382,-0.08731684394890855,-0.11315989576658549,0.08328420692895896,-0.02837199367764535,-0.12397283096245035,-0.004394890853945064,-0.01565209961980435,0.027729505745653377,-0.19372378145157845,0.02636934512367038,-0.0467512495194156,-0.05787859370327651,0.2093348712033833,-0.1579426716220257,-0.09145884061685677,-0.12091759579648853,0.006042120551924473,0.06530821478918364,0.20614977145542313,-0.05419454056132257,-0.17135973343585803,0.0725532914690931,-0.011182024007860225,-0.17937716262975778,-0.011913366653851084,-0.06390704429920116,-0.10343372207270708,-0.1197283096245034,0.0028775257379640307,0.03813917723952325,0.08631893716092102,0.21013456362937333,6.7,8.695652173913043,4.58,HILLPDK
-0.10177282241872784,0.19599982912555003,0.21333333333333337,0.07163740441710455,-0.22228031953522154,-0.14108078089623652,0.2476244179589047,0.28725362040240937,0.08575163398692812,-0.021502840787731216,0.05216455209534795,-0.011701482335853731,-0.03679952155154001,0.19677218163954036,-0.05138536460335769,-0.16422401640394715,-0.0930650604468367,0.06927933700713401,-0.07159639454910506,0.04567815797342903,-0.0867768806869153,0.1102550301166218,-0.07876628647101544,-0.029588619761630137,0.07115212097911061,-0.1384971592122688,-0.02363535392370456,-0.055376991755307796,-0.03513862189756077,-0.23649023879704384,-0.17572044939980352,-0.15378700499807765,-0.10342005211670725,-0.11199794950660001,0.08733051390490837,-0.03414755008757316,-0.13784783630227693,-0.0010389166559870134,-0.014524328249818447,0.02663590926566705,-0.19292408902558847,0.023956597889700542,-0.03992310649750096,-0.051426374471357165,0.21093425605536334,-0.15177068648810288,-0.08780212738690248,-0.12892135503438848,0.0042718612499466025,0.06433764791319578,0.20774915630740315,-0.059573668247255324,-0.16564569182792946,0.06975095048912812,-0.008769276773890384,-0.17645179204579436,-0.02095604254773805,-0.051467384339356666,-0.11315989576658549,-0.10342005211670725,0.0028706907599641163,0.036785851595540174,0.08024947669699689,0.2125336409073434,7.0,4.198757763975155,4.57,HILLPDK
-0.11317356572258531,0.19368277158357897,0.2280968858131488,0.07163740441710455,-0.22393438421120082,-0.138483489256269,0.24591567345892607,0.28725362040240937,0.08024947669699689,-0.019534367123755822,0.06083813917723951,0.0024264171899696695,-0.025385108291682685,0.20774915630740312,-0.041467811525481645,-0.15654833611004315,-0.0962638301507967,0.08428211371694648,-0.08221795036097229,0.05832286727327096,-0.0832568670169593,0.11790337049852617,-0.06929300696313385,-0.017668418129779144,0.05661412277329233,-0.138483489256269,-0.02603443120167457,-0.04793370071340083,-0.028064419667649197,-0.22230765944722114,-0.18390191806570122,-0.15867401426801658,-0.11026870007262163,-0.12896236490238797,0.07972318339100345,-0.032452475543594345,-0.11257892263659275,0.0018591140159767612,-0.021475500875731558,0.0369362211115383,-0.20616344141142295,0.01387500533982656,-0.035138621897560764,-0.05709940621128626,0.1952411465675595,-0.14972702806612842,-0.0958332265368021,-0.1203366226664958,0.0035746934939553158,0.06435131786919561,0.20614977145542313,-0.06044854543124439,-0.15792900166602591,0.06046221538724423,-0.006028450595924644,-0.16705369729591182,-0.02984151394762698,-0.04524755435943441,-0.10177282241872783,-0.10398735529070016,0.008249818445896877,0.0405519244734931,0.07972318339100345,0.20459139647144264,5.8,1.694152923538231,4.58,HILLPDK
-0.10510829168268615,0.19139305395360762,0.21333333333333337,0.07066683754111668,-0.2125336409073434,-0.13719851339228506,0.24073476013499084,0.30146353966423173,0.07732410611303348,-0.022254688367721813,0.055793925413302574,-0.013724635823828442,-0.0069306676919133675,0.20380537400145243,-0.019841941133751973,-0.14049980776624374,-0.09629117006279636,0.084241103848947,-0.07394079200307575,0.05500106796531248,-0.10063821607074203,0.10175915246272801,-0.056668802597291644,-0.0214481609637319,0.06529454483318382,-0.13527788457430903,-0.027729505745653377,-0.05582126532530223,-0.03360075184757999,-0.22229398949122134,-0.1816395403477295,-0.16848904267589385,-0.09788371993677646,-0.11557947797855525,0.08422743389294716,-0.01857747020376778,-0.09251142722884362,-0.0031850997479601867,-0.009774018539877824,0.04416079285744798,-0.19446879405356915,0.017354009141783075,-0.055404331667307447,-0.0558075953693024,0.20459139647144262,-0.16143534537998205,-0.10285274894271434,-0.11083600324661454,0.008393352983895081,0.06976462044512795,0.20143363663548208,-0.05999060190525011,-0.16000000000000003,0.06433764791319578,-0.015262505873809217,-0.16422401640394715,-0.040203340595497454,-0.04127643214148404,-0.1102550301166218,-0.09253876714084328,0.01601435345379982,0.03319748814558502,0.08938100730488276,0.2288965782391388,5.4,1.6264090177133654,4.42,HILLPDK
-0.11911999658251099,0.2037917040454526,0.21982656243325222,0.06132342261523346,-0.23057798282711778,-0.12892135503438848,0.24415224913494812,0.28444444444444444,0.07976419325900296,-0.0028228459139647143,0.037804263317527446,-0.010108932461873638,-0.0016130548079798367,0.21413302575932336,-0.036170703575547865,-0.170642060745867,-0.08321585714895981,0.08523901063693452,-0.07491135887906361,0.06975095048912812,-0.08078943995899016,0.11611944124054847,-0.06929300696313384,-0.024100132427698748,0.0409278482634884,-0.12834038190439578,-0.03915758896151053,-0.04673757956341578,-0.004558930325943014,-0.21494638814131323,-0.17645179204579436,-0.170642060745867,-0.1085121107266436,-0.13016532103037293,0.07491135887906361,-0.019705241573753685,-0.12892135503438848,-0.006185655089922679,-0.006568413857917894,0.045985731983425183,-0.19140672390960745,0.016875560681789057,-0.07205433807509934,-0.028009739843649874,0.22393438421120082,-0.15654833611004315,-0.09842368319876971,-0.09953094963475587,-0.0084958776538938,0.03649194754154385,0.18835832372164552,-0.06169934640522875,-0.14837370242214534,0.07022256397112223,-0.0271280276816609,-0.16633602460592078,-0.03228843607159639,-0.041611346063479854,-0.10340638216070744,-0.09202614379084968,0.01475671750181554,0.054194540561322564,0.11199794950660001,0.18835832372164552,5.2,3.311036789297659,4.47,HILLPDK
